seq	term
c478883_g1	"Translation, ribosomal structure and biogenesis"
c406308_g1	"Signal transduction mechanisms"
c469442_g1	"Coenzyme transport and metabolism"
c469753_g2	"Transcription"
c472455_g11	"Transcription"
c477641_g4	"Signal transduction mechanisms"
c473645_g4	"Replication, recombination and repair"
c477398_g1	"Replication, recombination and repair"
c479229_g3	"Cell wall/membrane/envelope biogenesis"
c470415_g1	"Posttranslational modification, protein turnover, chaperones"
c479659_g4	"Replication, recombination and repair"
c467518_g1	"Carbohydrate transport and metabolism"
c454974_g1	"NA"
c471116_g1	"NA"
c460162_g1	"Posttranslational modification, protein turnover, chaperones"
c480582_g1	"NA"
c472223_g1	"Replication, recombination and repair"
c447317_g1	"Intracellular trafficking, secretion, and vesicular transport"
c475282_g1	"Inorganic ion transport and metabolism"
c307254_g1	"Signal transduction mechanisms"
c475432_g1	"Signal transduction mechanisms"
c472633_g1	"Lipid transport and metabolism"
c460238_g1	"RNA processing and modification"
c479889_g3	"Chromatin structure and dynamics"
c478538_g7	"Cell cycle control, cell division, chromosome partitioning"
c380344_g2	"Translation, ribosomal structure and biogenesis"
c471993_g3	"Replication, recombination and repair"
c474448_g1	"Signal transduction mechanisms"
c421330_g1	"Translation, ribosomal structure and biogenesis"
c454993_g2	"Intracellular trafficking, secretion, and vesicular transport"
c470583_g2	"Replication, recombination and repair"
c477295_g3	"RNA processing and modification"
c436484_g1	"Transcription"
c465914_g2	"Carbohydrate transport and metabolism"
c460507_g1	"Posttranslational modification, protein turnover, chaperones"
c468977_g2	"Transcription"
c469937_g1	"Secondary metabolites biosynthesis, transport and catabolism"
c476196_g1	"Signal transduction mechanisms"
c453061_g1	"Replication, recombination and repair"
c248357_g1	"Transcription"
c476066_g1	"NA"
c444884_g1	"RNA processing and modification"
c386506_g1	"Inorganic ion transport and metabolism"
c468012_g3	"Signal transduction mechanisms"
c455983_g1	"RNA processing and modification"
c469878_g4	"Signal transduction mechanisms"
c473635_g10	"Energy production and conversion"
c464916_g2	"Posttranslational modification, protein turnover, chaperones"
c462713_g1	"Posttranslational modification, protein turnover, chaperones"
c474914_g1	"Carbohydrate transport and metabolism"
c460375_g5	"Replication, recombination and repair"
c470962_g3	"Intracellular trafficking, secretion, and vesicular transport"
c478636_g2	"NA"
c469811_g14	"Replication, recombination and repair"
c464623_g1	"Replication, recombination and repair"
c480758_g1	"Energy production and conversion"
c376868_g2	"Signal transduction mechanisms"
c480906_g1	"Transcription"
c472340_g9	"Replication, recombination and repair"
c471066_g5	"NA"
c471886_g1	"Translation, ribosomal structure and biogenesis"
c477450_g3	"Replication, recombination and repair"
c439531_g1	"Energy production and conversion"
c470405_g3	"Signal transduction mechanisms"
c473535_g2	"Energy production and conversion"
c438681_g2	"Signal transduction mechanisms"
c466186_g1	"RNA processing and modification"
c450073_g1	"Posttranslational modification, protein turnover, chaperones"
c451593_g1	"Carbohydrate transport and metabolism"
c471988_g1	"Cell cycle control, cell division, chromosome partitioning"
c479920_g3	"Posttranslational modification, protein turnover, chaperones"
c466576_g1	"Posttranslational modification, protein turnover, chaperones"
c425160_g1	"Transcription"
c453477_g1	"RNA processing and modification"
c471402_g4	"Cell cycle control, cell division, chromosome partitioning"
c431524_g1	"Cytoskeleton"
c473852_g15	"NA"
c468459_g2	"NA"
c471553_g1	"Amino acid transport and metabolism"
c465488_g1	"Transcription"
c444755_g1	"Intracellular trafficking, secretion, and vesicular transport"
c341487_g1	"Posttranslational modification, protein turnover, chaperones"
c468873_g1	"Signal transduction mechanisms"
c456052_g2	"Transcription"
c466411_g3	"NA"
c479653_g2	"NA"
c480812_g2	"Replication, recombination and repair"
c350818_g1	"Lipid transport and metabolism"
c474329_g1	"Transcription"
c461197_g1	"Lipid transport and metabolism"
c379402_g1	"NA"
c453803_g1	"Posttranslational modification, protein turnover, chaperones"
c469653_g1	"Transcription"
c405320_g1	"Energy production and conversion"
c417368_g1	"RNA processing and modification"
c472042_g1	"Signal transduction mechanisms"
c60796_g1	"Replication, recombination and repair"
c479902_g4	"Cell cycle control, cell division, chromosome partitioning"
c480993_g1	"Carbohydrate transport and metabolism"
c434950_g1	"Transcription"
c458957_g1	"Transcription"
c477549_g1	"Signal transduction mechanisms"
c472237_g1	"Chromatin structure and dynamics"
c904835_g1	"Energy production and conversion"
c479712_g5	"Replication, recombination and repair"
c476448_g2	"Nucleotide transport and metabolism"
c451457_g1	"Replication, recombination and repair"
c477274_g2	"RNA processing and modification"
c473630_g3	"Inorganic ion transport and metabolism"
c473001_g1	"Carbohydrate transport and metabolism"
c471045_g5	"Secondary metabolites biosynthesis, transport and catabolism"
c476890_g4	"RNA processing and modification"
c460161_g1	"Signal transduction mechanisms"
c478030_g1	"NA"
c479986_g1	"Signal transduction mechanisms"
c431093_g2	"Transcription"
c481319_g2	"Replication, recombination and repair"
c475100_g1	"Energy production and conversion"
c474090_g3	"Amino acid transport and metabolism"
c449369_g1	"NA"
c459914_g1	"Carbohydrate transport and metabolism"
c459867_g1	"Replication, recombination and repair"
c455624_g2	"Transcription"
c468994_g1	"Signal transduction mechanisms"
c475049_g1	"Energy production and conversion"
c471606_g2	"Transcription"
c464576_g2	"Translation, ribosomal structure and biogenesis"
c457898_g1	"Replication, recombination and repair"
c477991_g5	"Replication, recombination and repair"
c479202_g1	"Posttranslational modification, protein turnover, chaperones"
c449865_g1	"Posttranslational modification, protein turnover, chaperones"
c481307_g2	"Translation, ribosomal structure and biogenesis"
c447144_g1	"Replication, recombination and repair"
c451965_g1	"RNA processing and modification"
c445868_g1	"Chromatin structure and dynamics"
c392689_g1	"Signal transduction mechanisms"
c433393_g1	"Amino acid transport and metabolism"
c470675_g3	"Amino acid transport and metabolism"
c477805_g1	"Signal transduction mechanisms"
c459525_g1	"Replication, recombination and repair"
c470899_g3	"Secondary metabolites biosynthesis, transport and catabolism"
c471011_g1	"Transcription"
c479172_g2	"Replication, recombination and repair"
c1187887_g1	"Posttranslational modification, protein turnover, chaperones"
c458610_g1	"Posttranslational modification, protein turnover, chaperones"
c464623_g1	"Replication, recombination and repair"
c434272_g1	"Inorganic ion transport and metabolism"
c462109_g3	"Replication, recombination and repair"
c419248_g1	"Posttranslational modification, protein turnover, chaperones"
c460852_g1	"Cytoskeleton"
c465254_g1	"RNA processing and modification"
c378571_g1	"Posttranslational modification, protein turnover, chaperones"
c476888_g2	"Signal transduction mechanisms"
c469879_g1	"Signal transduction mechanisms"
c461556_g2	"Transcription"
c341391_g1	"Intracellular trafficking, secretion, and vesicular transport"
c454262_g1	"Signal transduction mechanisms"
c478184_g1	"Secondary metabolites biosynthesis, transport and catabolism"
c473415_g3	"Translation, ribosomal structure and biogenesis"
c453877_g3	"Transcription"
c389493_g1	"Signal transduction mechanisms"
c459902_g1	"RNA processing and modification"
c450605_g1	"Transcription"
c480614_g11	"Amino acid transport and metabolism"
c473025_g1	"Posttranslational modification, protein turnover, chaperones"
c451308_g1	"Replication, recombination and repair"
c449975_g1	"Transcription"
c449796_g1	"NA"
c449609_g1	"Transcription"
c462885_g1	"Translation, ribosomal structure and biogenesis"
c478786_g1	"Inorganic ion transport and metabolism"
c477612_g2	"Carbohydrate transport and metabolism"
c427911_g1	"Transcription"
c468065_g2	"Replication, recombination and repair"
c438938_g1	"Signal transduction mechanisms"
c472964_g1	"Amino acid transport and metabolism"
c473979_g2	"Posttranslational modification, protein turnover, chaperones"
c460651_g1	"RNA processing and modification"
c472466_g1	"RNA processing and modification"
c475882_g3	"Signal transduction mechanisms"
c473831_g1	"Intracellular trafficking, secretion, and vesicular transport"
c471011_g1	"Transcription"
c475368_g1	"NA"
c456391_g1	"Intracellular trafficking, secretion, and vesicular transport"
c470654_g1	"Cell cycle control, cell division, chromosome partitioning"
c473850_g2	"NA"
c465212_g2	"Signal transduction mechanisms"
c471066_g5	"Replication, recombination and repair"
c429424_g1	"Cell wall/membrane/envelope biogenesis"
c441916_g2	"Replication, recombination and repair"
c474227_g2	"Chromatin structure and dynamics"
c428393_g1	"Replication, recombination and repair"
c473501_g5	"Energy production and conversion"
c461045_g1	"Replication, recombination and repair"
c474714_g1	"Replication, recombination and repair"
c429875_g2	"Posttranslational modification, protein turnover, chaperones"
c464451_g3	"Replication, recombination and repair"
c460904_g1	"Carbohydrate transport and metabolism"
c468954_g8	"Secondary metabolites biosynthesis, transport and catabolism"
c472282_g3	"Amino acid transport and metabolism"
c478957_g1	"Energy production and conversion"
c458654_g1	"RNA processing and modification"
c478406_g1	"Signal transduction mechanisms"
c480894_g1	"Inorganic ion transport and metabolism"
c452665_g1	"Lipid transport and metabolism"
c464928_g1	"Signal transduction mechanisms"
c467956_g1	"Signal transduction mechanisms"
c469412_g1	"Cell cycle control, cell division, chromosome partitioning"
c464583_g1	"Transcription"
c465362_g2	"Chromatin structure and dynamics"
c411493_g1	"Transcription"
c445488_g1	"Transcription"
c424419_g1	"Posttranslational modification, protein turnover, chaperones"
c468832_g1	"Transcription"
c475968_g5	"Energy production and conversion"
c475653_g1	"NA"
c468676_g6	"Carbohydrate transport and metabolism"
c473930_g1	"Posttranslational modification, protein turnover, chaperones"
c480405_g2	"Replication, recombination and repair"
c480868_g1	"NA"
c454498_g1	"Amino acid transport and metabolism"
c449814_g1	"Transcription"
c470047_g1	"Signal transduction mechanisms"
c469402_g1	"Posttranslational modification, protein turnover, chaperones"
c450392_g1	"Posttranslational modification, protein turnover, chaperones"
c453104_g2	"Inorganic ion transport and metabolism"
c461493_g1	"RNA processing and modification"
c262133_g1	"Signal transduction mechanisms"
c452051_g2	"Signal transduction mechanisms"
c475496_g6	"NA"
c459269_g1	"NA"
c468742_g1	"Signal transduction mechanisms"
c339334_g1	"Translation, ribosomal structure and biogenesis"
c467407_g1	"Signal transduction mechanisms"
c474785_g4	"Signal transduction mechanisms"
c480092_g2	"NA"
c453654_g1	"Energy production and conversion"
c456665_g1	"RNA processing and modification"
c475260_g2	"Signal transduction mechanisms"
c457053_g1	"Intracellular trafficking, secretion, and vesicular transport"
c459563_g2	"Replication, recombination and repair"
c479518_g1	"Extracellular structures"
c475858_g1	"RNA processing and modification"
c467537_g2	"Signal transduction mechanisms"
c472448_g1	"Posttranslational modification, protein turnover, chaperones"
c470193_g1	"Replication, recombination and repair"
c463569_g2	"Cell cycle control, cell division, chromosome partitioning"
c146138_g1	"Defense mechanisms"
c469720_g1	"Posttranslational modification, protein turnover, chaperones"
c474074_g3	"Amino acid transport and metabolism"
c472142_g1	"Cytoskeleton"
c466662_g2	"Amino acid transport and metabolism"
c458505_g2	"NA"
c480128_g15	"Defense mechanisms"
c422306_g3	"Replication, recombination and repair"
c459933_g1	"Translation, ribosomal structure and biogenesis"
c454381_g1	"Cell cycle control, cell division, chromosome partitioning"
c438886_g1	"Translation, ribosomal structure and biogenesis"
c465213_g1	"Signal transduction mechanisms"
c471045_g5	"Secondary metabolites biosynthesis, transport and catabolism"
c449905_g1	"Replication, recombination and repair"
c450433_g1	"Amino acid transport and metabolism"
c474003_g1	"Replication, recombination and repair"
c217789_g1	"Posttranslational modification, protein turnover, chaperones"
c474892_g1	"Posttranslational modification, protein turnover, chaperones"
c465354_g2	"Energy production and conversion"
c471868_g3	"Transcription"
c464736_g1	"Transcription"
c452906_g2	"Carbohydrate transport and metabolism"
c466638_g1	"Replication, recombination and repair"
c452968_g3	"RNA processing and modification"
c474209_g1	"Replication, recombination and repair"
c475859_g11	"Cell cycle control, cell division, chromosome partitioning"
c460487_g1	"Intracellular trafficking, secretion, and vesicular transport"
c465204_g1	"Signal transduction mechanisms"
c467213_g1	"Energy production and conversion"
c476890_g4	"RNA processing and modification"
c469642_g1	"NA"
c479822_g2	"Amino acid transport and metabolism"
c478957_g1	"Energy production and conversion"
c474439_g1	"Energy production and conversion"
c426887_g1	"Transcription"
c451457_g1	"Replication, recombination and repair"
c468712_g1	"Amino acid transport and metabolism"
c445868_g1	"Chromatin structure and dynamics"
c475926_g2	"Transcription"
c480285_g3	"Replication, recombination and repair"
c426458_g1	"Nucleotide transport and metabolism"
c448172_g1	"NA"
c472445_g2	"Inorganic ion transport and metabolism"
c302295_g1	"Carbohydrate transport and metabolism"
c403257_g1	"Cytoskeleton"
c479218_g4	"Replication, recombination and repair"
c383925_g2	"Amino acid transport and metabolism"
c477418_g1	"Secondary metabolites biosynthesis, transport and catabolism"
